OBJECTID,Province,Abbreviation,DailyTotals,SummaryDate,TotalCases,TotalRecovered,DailyRecovered,TotalDeaths,DailyDeaths,TotalTested,DailyTested,TotalActive,DailyActive,TotalHospitalized,DailyHospitalized,TotalICU,DailyICU,TotalVaccinated,DailyVaccinated
3845,ALBERTA,AB,150,2020/09/22 12:00:00+00,16889,15066,42,258,2,1229939,14267,1565,106,51,0,9,0,,
3860,ALBERTA,AB,143,2020/09/23 12:00:00+00,17032,15252,186,260,2,1242263,12324,1520,-45,59,8,13,4,,
3875,ALBERTA,AB,158,2020/09/24 12:00:00+00,17190,15467,215,261,1,1255039,12776,1462,-58,58,-1,14,1,,
3890,ALBERTA,AB,153,2020/09/25 12:00:00+00,17343,15585,118,261,0,1269261,14222,1497,35,56,-2,14,0,,
3905,ALBERTA,AB,0,2020/09/26 12:00:00+00,17343,15585,0,261,0,1269261,0,1497,0,56,0,14,0,,
3920,ALBERTA,AB,0,2020/09/27 12:00:00+00,17343,15585,0,261,0,1269261,0,1497,0,56,0,14,0,,
3935,ALBERTA,AB,406,2020/09/28 12:00:00+00,17749,15935,350,265,4,1320550,51289,1549,52,63,7,15,1,,
3950,ALBERTA,AB,160,2020/09/29 12:00:00+00,17909,16072,137,266,1,1336742,16192,1571,22,63,0,13,-2,,
3965,ALBERTA,AB,153,2020/09/30 12:00:00+00,18062,16213,141,267,1,1350800,14058,1582,11,64,1,13,0,,
3980,ALBERTA,AB,173,2020/10/01 12:00:00+00,18235,16370,157,269,2,1365496,14696,1596,14,64,0,12,-1,,
3995,ALBERTA,AB,122,2020/10/02 12:00:00+00,18357,16527,157,272,3,1378898,13402,1558,-38,64,0,15,3,,
4010,ALBERTA,AB,0,2020/10/03 12:00:00+00,18357,16527,0,272,0,1378898,0,1558,0,64,0,15,0,,
4025,ALBERTA,AB,0,2020/10/04 12:00:00+00,18357,16527,0,272,0,1378898,0,1558,0,64,0,15,0,,
4040,ALBERTA,AB,578,2020/10/05 12:00:00+00,18935,16872,345,280,8,1424946,46048,1783,225,62,-2,14,-1,,
4055,ALBERTA,AB,276,2020/10/06 12:00:00+00,19211,17030,158,281,1,1442603,17657,1900,117,61,-1,13,-1,,
4070,ALBERTA,AB,143,2020/10/07 12:00:00+00,19354,17163,133,281,0,1456219,13616,1910,10,66,5,13,0,,
4085,ALBERTA,AB,364,2020/10/08 12:00:00+00,19718,17338,175,283,2,1472658,16439,2097,187,77,11,13,0,,
4100,ALBERTA,AB,277,2020/10/09 12:00:00+00,19995,17488,150,282,-1,1498064,25406,2225,128,86,9,11,-2,,
4115,ALBERTA,AB,0,2020/10/10 12:00:00+00,19995,17488,0,282,0,1498064,0,2225,0,86,0,11,0,,
4130,ALBERTA,AB,0,2020/10/11 12:00:00+00,19995,17488,0,282,0,1498064,0,2225,0,86,0,11,0,,
4145,ALBERTA,AB,0,2020/10/12 12:00:00+00,19995,17488,0,282,0,1498064,0,2225,0,86,0,11,0,,
4160,ALBERTA,AB,961,2020/10/13 12:00:00+00,20956,18055,567,286,4,1556275,58211,2615,390,97,11,13,2,,
4175,ALBERTA,AB,243,2020/10/14 12:00:00+00,21199,18223,168,287,1,1571176,14901,2689,74,100,3,14,1,,
4190,ALBERTA,AB,244,2020/10/15 12:00:00+00,21443,18417,194,288,1,1583918,12742,2738,49,101,1,16,2,,
4205,ALBERTA,AB,332,2020/10/16 12:00:00+00,21775,18651,234,288,0,1598145,14227,2836,98,117,16,11,-4,,
4220,ALBERTA,AB,0,2020/10/17 12:00:00+00,21775,18651,0,288,0,1598145,0,2836,0,117,0,11,0,,
