date,totcases,totdeaths,logtot,logdet,logdiff,logddiff_det,transit,walking,driving,TotalHospitalized,DailyTested,TotalICU,TotalRecovered,TotalActive,quebec,quebec-us,DailyVaccinated,TotalVaccinated,Quebec Vaccine,Mean Temp
21-03-2021,302339,10599,12.61930418,9.268514936,0.00214559,0.000471854,51.235,91.205,89.3,553,23159,96,280755,6881,181.7120656,1806.001181,28527,744108,35,7
22-03-2021,303051,10614,12.62165639,9.269929163,0.002352204,0.001414227,50.21,93.48,90.675,533,18232,91,281436,6753,197.6471537,1759.45079,30492,774600,46,7.7
23-03-2021,303707,10618,12.6238187,9.270305953,0.002162313,0.00037679,44.785,68.57,71.705,532,23432,107,282047,6833,146.0053481,1853.436765,30206,804806,36,10
24-03-2021,304490,10626,12.62639352,9.271059107,0.002574825,0.000753154,51.385,76.24,85.415,519,31945,101,282693,6883,197.4767603,2056.457228,27663,832469,13,8.9
25-03-2021,305435,10630,12.62949227,9.271435471,0.003098744,0.000376364,54.935,86.585,88.61,504,33670,99,283478,6851,192.1868304,2061.866779,39990,872459,44,14
26-03-2021,306385,10637,12.63259776,9.272093768,0.003105491,0.000658297,54.695,94.225,93.175,505,32943,99,284203,6894,156.9598392,1846.490908,43194,915653,47,6.9
27-03-2021,307394,10645,12.63588559,9.272845577,0.003287831,0.000751809,55.64,89.82,95.41,501,31995,102,284940,6800,157.1473107,2147.131203,29140,944793,23,3
28-03-2021,308311,10647,12.63886429,9.273033441,0.002978701,0.000187864,57.15,102.57,107.28,513,24609,114,285682,6755,181.1635581,1880.328228,21773,966566,33,6.1
29-03-2021,309202,10651,12.64175006,9.273409063,0.002885771,0.000375622,52.61,114.46,98.015,519,21447,113,286347,6742,178.9848907,1896.887589,26536,993102,23,1.1
30-03-2021,310066,10658,12.64454046,9.274066063,0.002790393,0.000656999,48.65,107.005,84.01,508,25675,118,286946,6918,188.0244503,1571.071378,31311,1024413,25,7.5
31-03-2021,311091,10667,12.64784075,9.274910143,0.003300296,0.00084408,54.585,100.035,91.205,496,35129,117,287632,7173,184.6320354,1448.046703,41410,1065823,33,8.3
01-04-2021,312362,10676,12.65191805,9.275753511,0.004077298,0.000843368,55.595,100.84,93.795,481,39663,115,288384,7364,182.8769735,2127.628742,56135,1121958,66,-0.5
02-04-2021,313676,10681,12.65611589,9.276221741,0.004197834,0.000468231,54.5,87.98,94.695,481,35960,108,289132,7617,186.8501733,1665.730811,54712,1176670,32,-1
03-04-2021,314958,10684,12.66019458,9.276502574,0.004078691,0.000280833,57.845,106.945,102.475,480,33671,114,289827,7837,220.4617974,1987.609937,46214,1222884,51,2.3
04-04-2021,316112,10693,12.66385186,9.277344601,0.003657285,0.000842027,53.525,90.32,103.37,477,26993,120,290564,7987,206.0727627,2058.875404,38971,1261855,31,7
